編號,d,D,B
0,10,30,9
1,12,32,10
2,15,35,11
3,17,40,12
4,20,47,14
5,25,52,15
6,30,62,16
7,35,72,17
8,40,80,18
9,45,85,19
10,50,90,20
11,55,100,21
12,60,110,22
13,85,120,23
14,70,126,24
15,75,130,26
16,60,140,26
17,55,150,26
18,90,160,30
19,95,170,32
20,100,160,34
21,105,190,36
22,110,200,36
24,120,215,40
26,130,230,40
28,140,250,42
30,150,270,45
32,160,290,48
34,170,310,52
36,180,320,52
38,190,340,55
40,200,360,58
44,220,400,65
48,240,440,72
52,250,480,80
56,280,500,80
60,300,540,85
64,320,580,92
68,340,620,92
